unique_registros_ID,voucher,genus,species,subspecies,if_hybrid,sex,Municipality-Department-Country,locality,lat_dec,lon_dec,elev_min,elev_max,elev_unit,day,month,year,date_if_string,collector,collection
1440,1231250267,Heliconius,erato,etylus,,desconocido,"Zamora, Zamora Chinchipe, Ecuador",Zamora ZC,-4.07,-78.97,NA,NA,m,NA,NA,NA,NA,NA,KB 1979
6040,841210,Heliconius,erato,etylus,,macho,"Tena, Napo, Ecuador","Napo, Rio Napo, ",-1.05,-77.78,NA,NA,m,NA,NA,1927,9-Aug,"Spillmann, W.",BMNH
6041,841211,Heliconius,erato,etylus,,macho,"Baños de Agua Santa, Tungurahua, Ecuador",Rio Verde Grande TU,-1.4,-78.3,5000,5000,ft,NA,Jan,1912,NA,"Palmer, M.G.",BMNH
6076,841213,Heliconius,erato,etylus,,macho,"Archidona, Napo, Ecuador",Churuyacu,-0.82,-77.78,NA,NA,m,NA,NA,NA,NA,Buckley,BMNH
6077,841214,Heliconius,erato,etylus,,macho,"Morona, Morona Santiago, Ecuador",Macas,-2.32,-78.12,NA,NA,m,NA,Feb,1928,NA,"Spillmann, W.",BMNH
6078,841215,Heliconius,erato,etylus,,macho,"Gualaquiza, Morona Santiago, Ecuador",Gualaquiza,-3.42,-78.6,NA,NA,m,NA,NA,NA,NA,NA,BMNH
6080,841217,Heliconius,erato,etylus,,macho,"Zamora, Zamora Chinchipe, Ecuador",Zamora ZC,-4.07,-78.97,3000,4000,ft,NA,NA,NA,NA,"Baron, O.T.",BMNH
6102,841219,Heliconius,erato,etylus,,macho,"Loja, Loja, Ecuador",Loja LO,-4,-79.22,NA,NA,m,NA,NA,1888,NA,NA,BMNH
16424,1231234391,Heliconius,erato,etylus,,unknown,"Centinela del Condor, Zamora Chinchipe, Ecuador",Zumbi SZ,-3.89,-78.78,700,700,m,NA,NA,1941,NA,"Laddey, D.B.",FLMNH (not labelled) - Basement
16426,1231234393,Heliconius,erato,etylus,,unknown,"Zamora, Zamora Chinchipe, Ecuador",Zamora ZC,-4.07,-78.97,1000,1000,m,NA,NA,1941,NA,"Laddey, D.B.",FLMNH (not labelled) - Basement
17061,1231235028,Heliconius,erato,etylus,,unknown,"Morona, Morona Santiago, Ecuador",Macas,-2.32,-78.12,NA,NA,m,NA,NA,NA,NA,NA,NHM Accessions
17062,1231235029,Heliconius,erato,etylus,,unknown,"Gualaquiza, Morona Santiago, Ecuador",Gualaquiza,-3.42,-78.6,NA,NA,m,NA,NA,NA,NA,NA,NHM Accessions
17106,1231235073,Heliconius,erato,etylus,,unknown,"Sucua, Morona Santiago, Ecuador",Limon 72km N of,-2.58,-78.2,630,630,m,28,Mar,1975,NA,Bristow,NHM Accessions
17107,1231235074,Heliconius,erato,etylus,,unknown,"Sucua, Morona Santiago, Ecuador",Limon 58km N (Rio Chupiataza),-2.47,-78.2,610,610,m,28,Mar,1975,NA,Bristow,NHM Accessions
17108,1231235075,Heliconius,erato,etylus,,unknown,"Logroño, Morona Santiago, Ecuador",Limon 48km N,-2.63,-78.2,580,580,m,27,Mar,1975,NA,Bristow,NHM Accessions
17109,1231235076,Heliconius,erato,etylus,,unknown,"Limon Indanza, Morona Santiago, Ecuador",Limon 24km N,-2.83,-78.32,770,770,m,27,Mar,1975,NA,Bristow,NHM Accessions
26207,5588,Heliconius,erato,etylus,,macho,"Zamora, Zamora Chinchipe, Ecuador",Zamora - Loja km 8 ZC,-4.03,-79.02,1450,1450,m,22,Jan,1992,NA,NA,FLMNH
26208,5592,Heliconius,erato,etylus,,macho,"Zamora, Zamora Chinchipe, Ecuador",Zamora - Loja km 3 ZC,-4.05,-78.98,1040,1040,m,25,Jan,1992,NA,NA,FLMNH
26209,5619,Heliconius,erato,etylus,,macho,"Zamora, Zamora Chinchipe, Ecuador",Zamora - Loja km 8 ZC,-4.03,-79.02,1450,1450,m,22,Jan,1992,NA,NA,FLMNH
26210,5586,Heliconius,erato,etylus,,macho,"Zamora, Zamora Chinchipe, Ecuador",Zamora ZC,-4.07,-78.97,980,980,m,28,Jan,1992,NA,NA,FLMNH
